709m 29s (- 738m 27s) (14700 49%) train loss: 0.9474, val_seen loss: 0.9444, success_rate: 0.131, val_unseen loss: 0.9560, success_rate: 0.124
714m 18s (- 733m 37s) (14800 49%) train loss: 0.9444, val_seen loss: 0.9467, success_rate: 0.127, val_unseen loss: 0.9610, success_rate: 0.113
719m 5s (- 728m 45s) (14900 49%) train loss: 0.9437, val_seen loss: 0.9448, success_rate: 0.129, val_unseen loss: 0.9581, success_rate: 0.116
723m 55s (- 723m 55s) (15000 50%) train loss: 0.9446, val_seen loss: 0.9574, success_rate: 0.125, val_unseen loss: 0.9704, success_rate: 0.111
728m 43s (- 719m 4s) (15100 50%) train loss: 0.9429, val_seen loss: 0.9551, success_rate: 0.131, val_unseen loss: 0.9651, success_rate: 0.124
733m 29s (- 714m 10s) (15200 50%) train loss: 0.9424, val_seen loss: 0.9560, success_rate: 0.131, val_unseen loss: 0.9654, success_rate: 0.110
738m 16s (- 709m 19s) (15300 51%) train loss: 0.9448, val_seen loss: 0.9423, success_rate: 0.134, val_unseen loss: 0.9550, success_rate: 0.123
743m 4s (- 704m 28s) (15400 51%) train loss: 0.9424, val_seen loss: 0.9488, success_rate: 0.131, val_unseen loss: 0.9582, success_rate: 0.114
747m 51s (- 699m 36s) (15500 51%) train loss: 0.9412, val_seen loss: 0.9458, success_rate: 0.140, val_unseen loss: 0.9502, success_rate: 0.128
752m 38s (- 694m 44s) (15600 52%) train loss: 0.9405, val_seen loss: 0.9536, success_rate: 0.136, val_unseen loss: 0.9632, success_rate: 0.127
757m 25s (- 689m 52s) (15700 52%) train loss: 0.9446, val_seen loss: 0.9474, success_rate: 0.130, val_unseen loss: 0.9613, success_rate: 0.117
762m 12s (- 685m 1s) (15800 52%) train loss: 0.9431, val_seen loss: 0.9459, success_rate: 0.135, val_unseen loss: 0.9545, success_rate: 0.122
767m 0s (- 680m 10s) (15900 53%) train loss: 0.9389, val_seen loss: 0.9434, success_rate: 0.132, val_unseen loss: 0.9558, success_rate: 0.122
771m 48s (- 675m 20s) (16000 53%) train loss: 0.9416, val_seen loss: 0.9433, success_rate: 0.138, val_unseen loss: 0.9540, success_rate: 0.118
776m 35s (- 670m 28s) (16100 53%) train loss: 0.9403, val_seen loss: 0.9499, success_rate: 0.134, val_unseen loss: 0.9660, success_rate: 0.115
781m 23s (- 665m 38s) (16200 54%) train loss: 0.9444, val_seen loss: 0.9427, success_rate: 0.139, val_unseen loss: 0.9556, success_rate: 0.124
786m 10s (- 660m 45s) (16300 54%) train loss: 0.9388, val_seen loss: 0.9432, success_rate: 0.146, val_unseen loss: 0.9529, success_rate: 0.128
790m 57s (- 655m 54s) (16400 54%) train loss: 0.9391, val_seen loss: 0.9383, success_rate: 0.140, val_unseen loss: 0.9517, success_rate: 0.126
795m 44s (- 651m 3s) (16500 55%) train loss: 0.9360, val_seen loss: 0.9468, success_rate: 0.135, val_unseen loss: 0.9596, success_rate: 0.118
800m 32s (- 646m 12s) (16600 55%) train loss: 0.9365, val_seen loss: 0.9513, success_rate: 0.140, val_unseen loss: 0.9592, success_rate: 0.123
805m 19s (- 641m 22s) (16700 55%) train loss: 0.9409, val_seen loss: 0.9491, success_rate: 0.131, val_unseen loss: 0.9625, success_rate: 0.119
810m 7s (- 636m 31s) (16800 56%) train loss: 0.9341, val_seen loss: 0.9454, success_rate: 0.134, val_unseen loss: 0.9642, success_rate: 0.122
814m 55s (- 631m 41s) (16900 56%) train loss: 0.9366, val_seen loss: 0.9405, success_rate: 0.139, val_unseen loss: 0.9544, success_rate: 0.123
819m 44s (- 626m 51s) (17000 56%) train loss: 0.9388, val_seen loss: 0.9372, success_rate: 0.143, val_unseen loss: 0.9483, success_rate: 0.128
824m 31s (- 622m 0s) (17100 56%) train loss: 0.9363, val_seen loss: 0.9499, success_rate: 0.130, val_unseen loss: 0.9628, success_rate: 0.115
829m 17s (- 617m 8s) (17200 57%) train loss: 0.9379, val_seen loss: 0.9477, success_rate: 0.134, val_unseen loss: 0.9596, success_rate: 0.116
834m 3s (- 612m 16s) (17300 57%) train loss: 0.9368, val_seen loss: 0.9367, success_rate: 0.141, val_unseen loss: 0.9452, success_rate: 0.121
838m 50s (- 607m 26s) (17400 57%) train loss: 0.9313, val_seen loss: 0.9335, success_rate: 0.142, val_unseen loss: 0.9450, success_rate: 0.123
843m 37s (- 602m 35s) (17500 58%) train loss: 0.9330, val_seen loss: 0.9395, success_rate: 0.140, val_unseen loss: 0.9556, success_rate: 0.131
848m 24s (- 597m 44s) (17600 58%) train loss: 0.9351, val_seen loss: 0.9376, success_rate: 0.143, val_unseen loss: 0.9481, success_rate: 0.124
853m 11s (- 592m 53s) (17700 59%) train loss: 0.9370, val_seen loss: 0.9310, success_rate: 0.145, val_unseen loss: 0.9417, success_rate: 0.123
857m 56s (- 588m 1s) (17800 59%) train loss: 0.9345, val_seen loss: 0.9440, success_rate: 0.139, val_unseen loss: 0.9567, success_rate: 0.123
